DATE_TIME	OPEN	HIGH	LOW	CLOSE	VOLUME	SPREAD
2022.12.30 00:00	3846.80000	3846.80000	3798.00000	3844.00000	0	20
2023.01.03 00:00	3867.50000	3884.10000	3793.10000	3821.70000	0	20
2023.01.04 00:00	3819.60000	3873.60000	3814.70000	3848.00000	0	20
2023.01.05 00:00	3849.30000	3862.60000	3801.30000	3811.40000	0	20
2023.01.06 00:00	3813.50000	3907.60000	3797.90000	3891.60000	0	20
2023.01.09 00:00	3900.60000	3951.00000	3887.90000	3891.30000	0	20
2023.01.10 00:00	3892.30000	3921.90000	3870.10000	3919.60000	0	20
2023.01.11 00:00	3919.80000	3969.80000	3912.70000	3969.60000	0	20
2023.01.12 00:00	3970.10000	3999.30000	3932.80000	3981.80000	0	20
2023.01.13 00:00	3982.60000	4004.40000	3941.20000	3999.20000	0	20
2023.01.16 00:00	4000.80000	4008.40000	3978.00000	3990.50000	0	20
2023.01.17 00:00	3991.10000	4016.30000	3981.60000	3990.10000	0	20
2023.01.18 00:00	3987.10000	4014.90000	3926.20000	3928.30000	0	20
2023.01.19 00:00	3925.50000	3930.80000	3885.20000	3903.30000	0	20
2023.01.20 00:00	3908.00000	3973.10000	3894.80000	3970.70000	0	20
2023.01.23 00:00	3973.30000	4039.50000	3963.10000	4020.10000	0	20
2023.01.24 00:00	4020.60000	4030.40000	3988.90000	4022.50000	0	20
2023.01.25 00:00	4023.60000	4023.90000	3948.30000	4013.30000	0	20
2023.01.26 00:00	4014.90000	4061.80000	4012.70000	4053.30000	0	20
2023.01.27 00:00	4049.50000	4094.30000	4041.80000	4068.90000	0	20
2023.01.30 00:00	4062.10000	4071.90000	4015.60000	4025.70000	0	20
2023.01.31 00:00	4026.20000	4076.70000	3993.30000	4070.70000	0	20
2023.02.01 00:00	4071.30000	4149.70000	4035.70000	4128.80000	0	20
2023.02.02 00:00	4132.90000	4195.30000	4122.90000	4152.20000	0	20
2023.02.03 00:00	4160.40000	4181.80000	4120.00000	4134.10000	0	20
2023.02.06 00:00	4126.10000	4130.60000	4092.20000	4111.70000	0	20
2023.02.07 00:00	4113.20000	4177.50000	4088.00000	4155.60000	0	20
2023.02.08 00:00	4157.80000	4168.00000	4111.20000	4122.30000	0	20
2023.02.09 00:00	4120.70000	4159.20000	4069.10000	4087.70000	0	20
2023.02.10 00:00	4086.20000	4094.10000	4050.30000	4089.00000	0	20
2023.02.13 00:00	4093.60000	4140.30000	4068.80000	4138.90000	0	20
2023.02.14 00:00	4138.70000	4175.50000	4093.90000	4130.80000	0	20
2023.02.15 00:00	4129.70000	4150.60000	4103.30000	4148.60000	0	20
2023.02.16 00:00	4146.50000	4157.50000	4086.20000	4086.40000	0	20
2023.02.17 00:00	4083.80000	4084.90000	4047.60000	4077.10000	0	20
2023.02.20 00:00	4076.60000	4080.10000	4064.50000	4067.10000	0	20
2023.02.21 00:00	4067.30000	4069.10000	3994.90000	4000.00000	0	20
2023.02.22 00:00	4001.00000	4017.60000	3976.60000	4001.20000	0	20
2023.02.23 00:00	4001.70000	4026.70000	3969.00000	4009.10000	0	20
2023.02.24 00:00	4009.50000	4016.80000	3942.80000	3968.90000	0	20
2023.02.27 00:00	3971.20000	4018.70000	3967.30000	3985.60000	0	20
2023.02.28 00:00	3988.10000	3997.90000	3959.60000	3963.90000	0	20
2023.03.01 00:00	3964.10000	3985.00000	3938.70000	3956.60000	0	20
2023.03.02 00:00	3954.50000	3991.40000	3919.60000	3980.30000	0	20
2023.03.03 00:00	3978.20000	4048.80000	3969.60000	4048.10000	0	20
2023.03.06 00:00	4043.40000	4078.50000	4037.30000	4050.10000	0	20
2023.03.07 00:00	4049.60000	4060.40000	3979.90000	3986.80000	0	20
2023.03.08 00:00	3989.00000	4000.90000	3969.40000	3995.50000	0	20
2023.03.09 00:00	3993.70000	4016.30000	3907.60000	3916.90000	0	20
2023.03.10 00:00	3913.10000	3939.10000	3845.10000	3876.40000	0	20
2023.03.13 00:00	3885.20000	3938.30000	3809.10000	3863.10000	0	20
